entrez_id	gene_name
Sample Identifier	NA
338094	FAM151A
57511	COG6
8125	ANP32A
284110	GSDMA
8789	FBP2
440193	CCDC88C
9814	SFI1
2828	GPR4
151531	UPP2
84364	ARFGAP2
23218	NBEAL2
4254	KITLG
5126	PCSK2
142940	TRUB1
64112	MOAP1
51384	WNT16
56947	MFF
752	FMNL1
3512	JCHAIN
127062	OR2M3
23491	CES3
400745	SH2D5
1949	EFNB3
81031	SLC2A10
55147	RBM23
6274	S100A3
10163	WASF2
8451	CUL4A
51466	EVL
51390	AIG1
58509	CACTIN
84517	ACTRT3
79078	C1orf50
92483	LDHAL6B
10914	PAPOLA
29935	RPA4
1409	CRYAA
4212	MEIS2
3320	HSP90AA1
155051	CRYGN
51586	MED15
11188	NISCH
7294	TXK
83729	INHBE
55869	HDAC8
8510	MMP23B
51768	TM7SF3
9811	CTIF
23284	ADGRL3
10533	ATG7
10155	TRIM28
7103	TSPAN8
79720	VPS37B
27079	RPUSD2
157506	RDH10
7158	TP53BP1
10092	ARPC5
785	CACNB4
132321	C4orf33
284697	BTBD8
944	TNFSF8
57657	HCN3
23092	ARHGAP26
57232	ZNF630
6519	SLC3A1
9727	RAB11FIP3
10875	FGL2
132989	C4orf36
138199	CARNMT1
79894	ZNF672
1622	DBI
6208	RPS14
9622	KLK4
254042	METAP1D
6462	SHBG
5308	PITX2
729665	CCDC175
57037	ANKMY2
3568	IL5RA
6641	SNTB1
27134	TJP3
51326	ARL17A
2866	GPR42
221806	VWDE
51199	NIN
63951	DMRTA1
10219	KLRG1
29965	CDIP1
84266	ALKBH7
11279	KLF8
203228	C9orf72
51267	CLEC1A
7559	ZNF12
4580	MTX1
9514	GAL3ST1
55815	TSNAXIP1
390067	OR52H1
5089	PBX2
56262	LRRC8A
762	CA4
392509	ARL13A
9390	SLC22A13
11102	RPP14
55038	CDCA4
84895	MIGA2
3996	LLGL1
55252	ASXL2
65094	JMJD4
27127	SMC1B
204801	NLRP11
54751	FBLIM1
3572	IL6ST
4706	NDUFAB1
109	ADCY3
154865	IQUB
10761	PLAC1
56623	INPP5E
5133	PDCD1
54704	PDP1
1272	CNTN1
9084	VCY
27430	MAT2B
79797	ZNF408
5516	PPP2CB
8560	DEGS1
64122	FN3K
79726	WDR59
9712	USP6NL
83759	RBM4B
7879	RAB7A
54567	DLL4
25938	HEATR5A
388389	CCDC103
51191	HERC5
72	ACTG2
100506736	SLFN12L
6632	SNRPD1
57404	CYP20A1
1801	DPH1
54556	ING3
1293	COL6A3
3094	HINT1
151056	PLB1
23349	PHF24
100500938	CCDC179
54845	ESRP1
55778	ZNF839
26093	CCDC9
421	ARVCF
6722	SRF
158248	TTC16
57697	FANCM
5778	PTPN7
10178	TENM1
10419	PRMT5
80352	RNF39
134510	UBLCP1
55974	SLC50A1
57664	PLEKHA4
6726	SRP9
54853	WDR55
165215	FAM171B
26	AOC1
64843	ISL2
5780	PTPN9
10056	FARSB
147495	APCDD1
22798	LAMB4
3425	IDUA
644844	PHGR1
27245	AHDC1
1263	PLK3
137872	ADHFE1
157313	CDCA2
150274	HSCB
242	ALOX12B
113174	SAAL1
56882	CDC42SE1
9656	MDC1
2	A2M
126526	C19orf47
25849	PARM1
215	ABCD1
6598	SMARCB1
3460	IFNGR2
8760	CDS2
285955	SPDYE1
27249	MMADHC
10612	TRIM3
26045	LRRTM2
10917	BTNL3
83547	RILP
80217	CFAP43
266740	MAGEA2B
10063	COX17
129080	EMID1
10783	NEK6
9406	ZRANB2
57864	SLC46A2
5167	ENPP1
26974	ZNF285
4174	MCM5
246	ALOX15
84769	MPV17L2
6273	S100A2
118429	ANTXR2
4967	OGDH
6495	SIX1
83443	SF3B5
140609	NEK7
57553	MICAL3
51135	IRAK4
11172	INSL6
55285	RBM41
8871	SYNJ2
85360	SYDE1
54456	MOV10L1
84662	GLIS2
202052	DNAJC18
23412	COMMD3
10105	PPIF
23140	ZZEF1
673	BRAF
25972	UNC50
389197	C4orf50
84920	ALG10
4863	NPAT
1264	CNN1
6621	SNAPC4
3749	KCNC4
4057	LTF
6150	MRPL23
387509	GPR153
89848	FCHSD1
399979	SNX19
23293	SMG6
388564	TMEM238
10112	KIF20A
51365	PLA1A
120237	DBX1
342931	RFPL4A
10455	ECI2
11086	ADAM29
9775	EIF4A3
55450	CAMK2N1
55966	AJAP1
1182	CLCN3
6814	STXBP3
6611	SMS
654463	FER1L6
397	ARHGDIB
222235	FBXL13
11036	GTF2A1L
642636	RAD21L1
56660	KCNK12
129880	BBS5
6943	TCF21
6009	RHEB
57684	ZBTB26
23152	CIC
114788	CSMD3
4332	MNDA
10402	ST3GAL6
54332	GDAP1
55591	VEZT
390445	OR5AU1
387775	SLC22A10
27092	CACNG4
11321	GPN1
5339	PLEC
79187	FSD1
79571	GCC1
64097	EPB41L4A
1618	DAZL
6198	RPS6KB1
2155	F7
2799	GNS
4659	PPP1R12A
10507	SEMA4D
201254	CENPX
5723	PSPH
646019	CBY3
5350	PLN
2853	GPR31
5660	PSAP
4222	MEOX1
9125	CNOT9
126638	RPTN
10262	SF3B4
656	BMP8B
7462	LAT2
27239	GPR162
90317	ZNF616
137902	PXDNL
8079	MLF2
5337	PLD1
22986	SORCS3
84946	LTV1
25880	TMEM186
6656	SOX1
259	AMBP
2047	EPHB1
151649	PP2D1
2889	RAPGEF1
57594	HOMEZ
51513	ETV7
80303	EFHD1
51029	DESI2
27166	PRELID1
100288814	CLDN34
85414	SLC45A3
80346	REEP4
1586	CYP17A1
80344	DCAF11
32	ACACB
57716	PRX
8557	TCAP
143471	PSMA8
55340	GIMAP5
353322	ANKRD37
129450	TYW5
203427	SLC25A43
339512	CCDC190
90410	IFT20
3053	SERPIND1
64106	NPFFR1
653149	NBPF6
2937	GSS
199	AIF1
1327	COX4I1
958	CD40
199731	CADM4
4191	MDH2
1353	COX11
3550	IK
115708	TRMT61A
220441	RNF152
9444	QKI
9414	TJP2
54822	TRPM7
7752	ZNF200
79792	GSDMD
11062	DUS4L
27065	NSG1
23168	RTF1
203238	CCDC171
3664	IRF6
140902	R3HDML
6183	MRPS12
79843	FAM124B
84752	B3GNT9
89839	ARHGAP11B
163223	ZNF676
6002	RGS12
7025	NR2F1
131474	CHCHD4
55266	TMEM19
5409	PNMT
256472	TMEM151A
79729	SH3D21
135112	NCOA7
57610	RANBP10
6300	MAPK12
29946	SERTAD3
474354	LRRC18
1607	DGKB
8399	PLA2G10
3295	HSD17B4
83714	NRIP2
158297	SAXO1
23632	CA14
90550	MCU
960	CD44
6484	ST3GAL4
91646	TDRD12
4717	NDUFC1
9051	PSTPIP1
54828	BCAS3
7023	TFAP4
91775	NXPE3
64839	FBXL17
144699	FBXL14
148156	ZNF558
6118	RPA2
51088	KLHL5
5321	PLA2G4A
1798	DPAGT1
220074	LRTOMT
1310	COL19A1
646	BNC1
345193	LRIT3
8837	CFLAR
2069	EREG
154807	VKORC1L1
55421	NCBP3
3087	HHEX
91461	PKDCC
2958	GTF2A2
577	ADGRB3
90268	OTULIN
78987	CRELD1
10744	PTTG2
9655	SOCS5
58494	JAM2
4973	OLR1
79037	PVRIG
114826	SMYD4
60401	EDA2R
6809	STX3
27034	ACAD8
54059	YBEY
84955	NUDCD1
6446	SGK1
79161	TMEM243
160492	LMNTD1
64599	GIGYF1
3257	HPS1
200205	IBA57
401474	SAMD12
23646	PLD3
221395	ADGRF5
8647	ABCB11
10551	AGR2
399664	MEX3D
56731	SLC2A4RG
1992	SERPINB1
27154	BRPF3
54891	INO80D
219793	TBATA
10570	DPYSL4
101060200	ZNF891
388662	SLC6A17
55763	EXOC1
22818	COPZ1
644353	ZCCHC18
3776	KCNK2
146429	SLC22A31
84265	POLR3GL
23077	MYCBP2
27240	SIT1
55888	ZKSCAN7
153579	BTNL9
340481	ZDHHC21
11202	KLK8
23042	PDXDC1
196074	METTL15
4008	LMO7
51441	YTHDF2
54187	NANS
84896	ATAD1
7753	ZNF202
201163	FLCN
1299	COL9A3
135398	C6orf141
55900	ZNF302
148479	PHF13
94081	SFXN1
387496	RASL11A
84289	ING5
1022	CDK7
5998	RGS3
714	C1QC
29927	SEC61A1
84726	PRRC2B
126014	OSCAR
57494	RIMKLB
64864	RFX7
65056	GPBP1
55798	METTL2B
10285	SMNDC1
655	BMP7
79960	JADE1
11278	KLF12
54868	TMEM104
23446	SLC44A1
317	APAF1
84900	RNFT2
727910	TLCD2
91304	TMEM259
482	ATP1B2
23038	WDTC1
84313	VPS25
3489	IGFBP6
26492	OR8G2P
79712	GTDC1
55151	TMEM38B
57673	BEND3
55727	BTBD7
125061	AFMID
718	C3
9403	SELENOF
5411	PNN
79473	OR52N1
55750	AGK
9779	TBC1D5
53407	STX18
651	BMP3
496	ATP4B
5375	PMP2
388551	CEACAM16
83992	CTTNBP2
388533	KRTDAP
51704	GPRC5B
2785	GNG3
26747	NUFIP1
2948	GSTM4
55799	CACNA2D3
377007	KLHL30
11066	SNRNP35
5255	PHKA1
10627	MYL12A
56254	RNF20
5146	PDE6C
50484	RRM2B
3045	HBD
9839	ZEB2
10290	SPEG
84260	TCHP
388722	C1orf53
84172	POLR1B
253959	RALGAPA1
265	AMELX
2199	FBLN2
2322	FLT3
4320	MMP11
114881	OSBPL7
80227	PAAF1
124583	CANT1
10439	OLFM1
11338	U2AF2
4117	MAK
158431	ZNF782
55088	CCDC186
54974	THG1L
114984	FLYWCH2
57590	WDFY1
731220	RFX8
10815	CPLX1
79155	TNIP2
57449	PLEKHG5
8618	CADPS
5874	RAB27B
1070	CETN3
285367	RPUSD3
152519	NIPAL1
23126	POGZ
4481	MSR1
9886	RHOBTB1
6456	SH3GL2
55109	AGGF1
653082	ZDHHC11B
130507	UBR3
55958	KLHL9
4051	CYP4F3
157773	C8orf48
8792	TNFRSF11A
387885	CFAP73
80829	ZFP91
57593	EBF4
159989	DEUP1
126374	WTIP
65061	CDK15
9605	VPS9D1
7450	VWF
3091	HIF1A
401124	DTHD1
3187	HNRNPH1
10894	LYVE1
54453	RIN2
56986	DTWD1
9588	PRDX6
7284	TUFM
158135	TTLL11
11076	TPPP
55684	RABL6
84765	ZNF577
5268	SERPINB5
126272	EID2B
3930	LBR
9097	USP14
3267	AGFG1
116412	ZNF837
26095	PTPN20
1609	DGKQ
286343	LURAP1L
255252	LRRC57
6361	CCL17
4289	MKLN1
11080	DNAJB4
54207	KCNK10
7083	TK1
8153	RND2
113444	SMIM12
25807	RHBDD3
79674	VEPH1
5034	P4HB
55893	ZNF395
3780	KCNN1
4327	MMP19
642489	FKBP1C
203069	R3HCC1
2720	GLB1
7431	VIM
10342	TFG
64651	CSRNP1
27071	DAPP1
57613	FAM234B
2864	FFAR1
55695	NSUN5
84083	ZRANB3
254122	SNX32
116444	GRIN3B
11009	IL24
374470	C12orf42
6648	SOD2
8668	EIF3I
153657	TTC23L
55884	WSB2
63891	RNF123
7290	HIRA
6478	SIAH2
57453	DSCAML1
56647	BCCIP
3902	LAG3
10459	MAD2L2
51109	RDH11
3073	HEXA
489	ATP2A3
219743	TYSND1
5908	RAP1B
440567	UQCRHL
3759	KCNJ2
9649	RALGPS1
130612	TMEM198
51121	RPL26L1
147687	ZNF417
148423	C1orf52
131096	KCNH8
3614	IMPDH1
57082	KNL1
340485	ACER2
7138	TNNT1
49	ACR
26061	HACL1
1595	CYP51A1
4122	MAN2A2
5570	PKIB
91607	SLFN11
6938	TCF12
5744	PTHLH
55182	RNF220
54921	CHTF8
5211	PFKL
5243	ABCB1
4923	NTSR1
116151	FAM210B
340359	KLHL38
440353	NPIPB12
51016	EMC9
1469	CST1
79789	CLMN
466	ATF1
55326	AGPAT5
55584	CHRNA9
6369	CCL24
27201	GPR78
51249	TMEM69
10483	SEC23B
55139	ANKZF1
475	ATOX1
5257	PHKB
3240	HP
100288332	NPIPA5
23361	ZNF629
133121	ENPP6
55096	EBLN2
9929	JOSD1
80737	VWA7
79777	ACBD4
11033	ADAP1
2175	FANCA
1816	DRD5
23560	GTPBP4
1301	COL11A1
10403	NDC80
55505	NOP10
10223	GPA33
148345	C1orf127
10278	EFS
10200	MPHOSPH6
4068	SH2D1A
1106	CHD2
136319	MTPN
143630	UBQLNL
201229	LYRM9
63899	NSUN3
9753	ZSCAN12
6144	RPL21
23259	DDHD2
12	SERPINA3
9847	C2CD5
64895	PAPOLG
26993	AKAP8L
23368	PPP1R13B
441027	TMEM150C
533	ATP6V0B
79852	EPHX3
51776	MAP3K20
2687	GGT5
3834	KIF25
5818	NECTIN1
9528	TMEM59
643847	PGA4
3175	ONECUT1
10432	RBM14
120935	CCDC38
89	ACTN3
5063	PAK3
5239	PGM5
5728	PTEN
9782	MATR3
5198	PFAS
900	CCNG1
9040	UBE2M
124975	GGT6
597	BCL2A1
149699	GTSF1L
55692	LUC7L
89866	SEC16B
10237	SLC35B1
8662	EIF3B
57532	NUFIP2
5954	RCN1
435	ASL
252884	ZNF396
9915	ARNT2
2172	FABP6
153562	MARVELD2
5053	PAH
50487	PLA2G3
285016	ALKAL2
79573	TTC13
7410	VAV2
602	BCL3
4552	MTRR
100130890	TSTD3
51224	ELOA2
64928	MRPL14
4291	MLF1
2826	CCR10
5947	RBP1
158471	PRUNE2
221895	JAZF1
129025	ZNF280A
753	LDLRAD4
10618	TGOLN2
158038	LINGO2
25839	COG4
10659	CELF2
81887	LAS1L
6865	TACR2
90576	ZNF799
51174	TUBD1
9168	TMSB10
79364	ZXDC
100132074	FOXO6
150350	ENTHD1
5729	PTGDR
84722	PSRC1
55670	PEX26
84894	LINGO1
2274	FHL2
55321	TMEM74B
114801	TMEM200A
8317	CDC7
79832	QSER1
56673	C11orf16
7105	TSPAN6
3146	HMGB1
6564	SLC15A1
92714	ARRDC1
23760	PITPNB
729852	UMAD1
53347	UBASH3A
22977	AKR7A3
100287171	WASHC1
83460	EMC6
23300	ATMIN
23376	UFL1
7867	MAPKAPK3
56898	BDH2
50863	NTM
3455	IFNAR2
57706	DENND1A
388630	TRABD2B
54442	KCTD5
3800	KIF5C
51604	PIGT
60672	MIIP
80772	CPTP
11091	WDR5
8727	CTNNAL1
4043	LRPAP1
4901	NRL
84952	CGNL1
51107	APH1A
150221	RIMBP3C
55177	RMDN3
100130827	SBK3
202915	TMEM184A
29984	RHOD
9236	CCPG1
7011	TEP1
7639	ZNF85
4064	CD180
140885	SIRPA
1292	COL6A2
9887	SMG7
162993	ZNF846
133015	PACRGL
11077	HSF2BP
10974	ADIRF
6201	RPS7
6746	SSR2
50640	PNPLA8
55165	CEP55
115811	IQCD
259232	NALCN
8549	LGR5
54331	GNG2
6730	SRP68
2737	GLI3
3554	IL1R1
6483	ST3GAL2
83884	SLC25A2
25841	ABTB2
5463	POU6F1
25913	POT1
5757	PTMA
10174	SORBS3
6096	RORB
223117	SEMA3D
51	ACOX1
7732	RNF112
139324	HDX
154141	MBOAT1
10787	NCKAP1
9409	PEX16
6046	BRD2
6372	CXCL6
55346	TCP11L1
55625	ZDHHC7
79065	ATG9A
81856	ZNF611
5455	POU3F3
55422	ZNF331
2288	FKBP4
57409	MIF4GD
23347	SMCHD1
2810	SFN
8484	GALR3
153642	ARSK
255743	NPNT
5095	PCCA
7321	UBE2D1
343170	OR14K1
55650	PIGV
56948	SDR39U1
84959	UBASH3B
90441	ZNF622
6742	SSBP1
253143	PRR14L
23200	ATP11B
6890	TAP1
994	CDC25B
3275	PRMT2
9477	MED20
9570	GOSR2
3623	INHA
5425	POLD2
79745	CLIP4
150290	DUSP18
647310	TEX22
23215	PRRC2C
23109	DDN
3981	LIG4
148170	CDC42EP5
23595	ORC3
2130	EWSR1
161003	STOML3
93986	FOXP2
4649	MYO9A
5509	PPP1R3D
8450	CUL4B
377630	USP17L2
157807	CLVS1
387856	CCDC184
60495	HPSE2
219972	MPEG1
8875	VNN2
84140	FAM161A
142683	ITLN2
4763	NF1
150280	HORMAD2
79883	PODNL1
115650	TNFRSF13C
259236	TMIE
1808	DPYSL2
222826	FAM217A
55808	ST6GALNAC1
23409	SIRT4
6949	TCOF1
23543	RBFOX2
113791	PIK3IP1
26508	HEYL
1781	DYNC1I2
9334	B4GALT5
7220	TRPC1
8663	EIF3C
54529	ASNSD1
102723849	SPDYE17
794	CALB2
84276	NICN1
147138	TMC8
4837	NNMT
4725	NDUFS5
64116	SLC39A8
93034	NT5C1B
1452	CSNK1A1
57559	STAMBPL1
22852	ANKRD26
51705	EMCN
4985	OPRD1
253980	KCTD13
5290	PIK3CA
26063	DECR2
1600	DAB1
124222	PAQR4
5292	PIM1
9546	APBA3
2940	GSTA3
114132	SIGLEC11
283375	SLC39A5
79746	ECHDC3
255403	ZNF718
90273	CEACAM21
126074	SWSAP1
57595	PDZD4
118471	PRAP1
1759	DNM1
10877	CFHR4
288	ANK3
84188	FAR1
8190	MIA
221545	C6orf136
50511	SYCP3
669	BPGM
79083	MLPH
159013	CXorf38
2535	FZD2
57180	ACTR3B
147670	SMIM17
166379	BBS12
4702	NDUFA8
7532	YWHAG
4050	LTB
1523	CUX1
161357	MDGA2
3858	KRT10
7456	WIPF1
80150	ASRGL1
54980	C2orf42
220136	CFAP53
131566	DCBLD2
60481	ELOVL5
84253	GARNL3
358	AQP1
94104	PAXBP1
81488	POLR2M
57396	CLK4
645369	TMEM200C
22862	FNDC3A
89797	NAV2
55790	CSGALNACT1
54934	KANSL2
337876	CHSY3
23071	ERP44
80034	CSRNP3
5720	PSME1
8479	HIRIP3
54984	PINX1
10420	TESK2
2185	PTK2B
162239	ZFP1
2959	GTF2B
379	ARL4D
286256	LCN12
5287	PIK3C2B
54477	PLEKHA5
89795	NAV3
1158	CKM
948	CD36
113230	MISP3
3726	JUNB
25861	WHRN
57018	CCNL1
247	ALOX15B
7756	ZNF207
10170	DHRS9
64682	ANAPC1
51130	ASB3
548645	DNAJC25
25758	KIAA1549L
170487	ACTL10
5260	PHKG1
4857	NOVA1
9657	IQCB1
5988	RFPL1
4171	MCM2
132949	AASDH
163087	ZNF383
353513	VCY1B
56931	DUS3L
4713	NDUFB7
351	APP
140701	ABHD16B
388646	GBP7
260429	PRSS33
79269	DCAF10
2022	ENG
29903	CCDC106
375790	AGRN
10252	SPRY1
162073	ITPRIPL2
4314	MMP3
6688	SPI1
9197	SLC33A1
6704	SPRR2E
890	CCNA2
5996	RGS1
925	CD8A
9524	TECR
27300	ZNF544
7436	VLDLR
9618	TRAF4
729330	OC90
4891	SLC11A2
124359	CDYL2
138151	NACC2
8645	KCNK5
55000	TUG1
5911	RAP2A
648	BMI1
54762	GRAMD1C
219333	USP12
5306	PITPNA
7525	YES1
128646	SIRPD
170680	PSORS1C2
64066	MMP27
9497	SLC4A7
8639	AOC3
79582	SPAG16
84436	ZNF528
284307	ZIK1
8651	SOCS1
2191	FAP
26108	PYGO1
831	CAST
6277	S100A6
100137049	PLA2G4B
79738	BBS10
84305	PYM1
774	CACNA1B
91807	MYLK3
9924	PAN2
5097	PCDH1
3026	HABP2
729747	ZNF878
5571	PRKAG1
2817	GPC1
29103	DNAJC15
6905	TBCE
57617	VPS18
26150	RIBC2
3442	IFNA5
3169	FOXA1
26253	CLEC4E
9182	RASSF9
285190	RGPD4
79334	OR11H2
10452	TOMM40
5256	PHKA2
79825	EFCC1
200728	TMEM17
3589	IL11
55291	PPP6R3
26254	OPTC
5606	MAP2K3
3856	KRT8
222698	NKAPL
84290	CAPNS2
63931	MRPS14
51295	ECSIT
168002	DACT2
340554	ZC3H12B
10229	COQ7
5203	PFDN4
9378	NRXN1
91975	ZNF300
442117	GALNTL6
8747	ADAM21
353355	ZNF233
1438	CSF2RA
3785	KCNQ2
51091	SEPSECS
527	ATP6V0C
26152	ZNF337
284525	SLC9C2
1630	DCC
79442	LRRC2
5675	PSG6
80331	DNAJC5
23473	CAPN7
29993	PACSIN1
201973	PRIMPOL
23317	DNAJC13
84100	ARL6
91875	TTC5
4644	MYO5A
85409	NKD2
284129	SLC26A11
80022	MYO15B
9278	ZBTB22
4124	MAN2A1
285315	C3orf33
83444	INO80B
55374	TMCO6
23180	RFTN1
1789	DNMT3B
29760	BLNK
5887	RAD23B
120114	FAT3
2568	GABRP
79987	SVEP1
24137	KIF4A
653440	WASH6P
23630	KCNE5
79925	SPEF2
8325	FZD8
90957	DHX57
1965	EIF2S1
1112	FOXN3
79901	CYBRD1
126375	ZNF792
283129	MAJIN
6175	RPLP0
116068	LYSMD3
6827	SUPT4H1
85012	TCEAL3
10244	RABEPK
64856	VWA1
5731	PTGER1
8941	CDK5R2
54801	HAUS6
9986	RCE1
953	ENTPD1
9896	FIG4
6900	CNTN2
54619	CCNJ
6231	RPS26
390980	ZNF805
474170	LRRC37A2
1437	CSF2
9238	TBRG4
22794	CASC3
57418	WDR18
113	ADCY7
56245	C21orf62
56650	CLDND1
388697	HRNR
79184	BRCC3
1145	CHRNE
389161	ANKUB1
85480	TSLP
338707	B4GALNT4
2060	EPS15
54985	HCFC1R1
55278	QRSL1
80757	TMEM121
1016	CDH18
3779	KCNMB1
343450	KCNT2
55891	LENEP
158376	SPAAR
1180	CLCN1
10935	PRDX3
246721	POLR2J2
6357	CCL13
5923	RASGRF1
7481	WNT11
54918	CMTM6
3212	HOXB2
390748	PABPN1L
3899	AFF3
10217	CTDSPL
93166	PRDM6
283237	TTC9C
6610	SMPD2
2055	CLN8
51203	NUSAP1
4682	NUBP1
203562	TMEM31
387804	VSTM5
54870	QRICH1
55806	HR
27032	ATP2C1
9700	ESPL1
9894	TELO2
10920	COPS8
9349	RPL23
4176	MCM7
10878	CFHR3
3700	ITIH4
23608	MKRN1
9242	MSC
391059	FRRS1
29841	GRHL1
4058	LTK
221035	REEP3
10810	WASF3
130075	OR9A4
84514	GHDC
54498	SMOX
5314	PKHD1
1398	CRK
5293	PIK3CD
7089	TLE2
79747	ADGB
744	MPPED2
8516	ITGA8
27328	PCDH11X
9231	DLG5
573	BAG1
84976	DISP1
140578	CHODL
6714	SRC
9153	SLC28A2
6340	SCNN1G
165904	XIRP1
3692	EIF6
171389	NLRP6
22917	ZP1
115106	HAUS1
4293	MAP3K9
390790	ARL5C
390201	OR10V1
8930	MBD4
85377	MICALL1
83544	DNAL1
2214	FCGR3A
10427	SEC24B
6191	RPS4X
39	ACAT2
158800	RHOXF1
203	AK1
81617	CAB39L
169026	SLC30A8
84075	FSCB
92558	BICDL1
10495	ENOX2
255189	PLA2G4F
1238	ACKR2
145853	C15orf61
9587	MAD2L1BP
55586	MIOX
27163	NAAA
84525	HOPX
1185	CLCN6
50848	F11R
201181	ZNF385C
93134	ZNF561
283461	C12orf40
201164	PLD6
51060	TXNDC12
402665	IGLON5
2121	EVC
1005	CDH7
57053	CHRNA10
55161	TMEM33
27433	TOR2A
8548	BLZF1
25983	NGDN
90525	SHF
23345	SYNE1
51665	ASB1
159195	USP54
79149	ZSCAN5A
10718	NRG3
23236	PLCB1
10500	SEMA6C
219654	ZCCHC24
373509	USP50
10630	PDPN
9498	SLC4A8
10598	AHSA1
261734	NPHP4
79944	L2HGDH
163688	CALML6
5047	PAEP
5275	SERPINB13
23299	BICD2
79153	GDPD3
221496	LEMD2
165829	GPR156
56097	PCDHGC5
51310	SLC22A17
79658	ARHGAP10
153020	RASGEF1B
129446	XIRP2
51421	AMOTL2
7730	ZNF177
814	CAMK4
10716	TBR1
9080	CLDN9
9854	C2CD2L
26523	AGO1
1519	CTSO
